n_completed,mean_tat,sd_tat,p50_tat,p90_tat,p95_tat,p99_tat,replication
87,498.50218728562413,255.29413955046414,488.28741695362635,846.0564644781854,885.6953466103395,920.7503703116048,1
88,499.04875836944575,258.10267659091426,489.31319237756765,851.427433244258,893.1824179247284,926.7056150633264,2
87,498.7731088372987,255.74623354832144,489.02989442079047,849.7861632767232,886.1284664626786,923.6275510365579,3
88,500.36288606331277,257.95347784143036,490.51886565347434,854.0780392938962,893.3278951811747,927.3834121837355,4
87,495.9345539834976,255.46847044152437,487.2719684011778,844.0748626139376,886.118140217265,917.9266415292911,5
87,494.5900044665046,255.46257078186088,485.23032745804346,843.2990114198082,883.902148042512,918.2000836840341,6
87,498.4388494222109,255.21415214483812,489.45145974484603,847.554299203136,888.1349319651656,921.709687300602,7
87,495.23340770424403,255.1610395847565,486.0485617745974,845.3417940507351,882.6036587749625,920.2237049606252,8
87,495.2440254592563,255.12538502700104,484.88927415491673,843.4727615276053,884.7939520866338,916.6033573431519,9
87,497.61180009926693,255.48926695052901,488.4580173938258,847.1288563463862,885.8385099723321,920.729890376768,10
87,498.5862557553257,255.35368131303832,488.10103776801805,847.5738793317528,886.4031198348449,922.9925305139489,11
87,495.5200611772899,255.40618791605337,487.53138370120644,844.4329855756177,883.647468432497,921.3263369399225,12
87,493.41567319015513,255.3099872380322,482.93157602580357,843.4626601099887,882.6560094506617,915.0446629806133,13
87,497.83426269973,255.41052197012417,485.3172377072884,848.780301126489,887.3198722033214,920.6798096811635,14
88,499.22906093001444,258.1810702610548,489.4292189429781,852.6429539406472,893.9036089826718,928.2989183340534,15
87,495.4464083687731,255.30679619682493,487.4668925301361,844.4392334474975,883.1685576003872,916.1913320696174,16
87,495.3973686908006,255.05475552353363,487.4614787179846,844.8557967520102,882.7416136107981,915.4126037383758,17
87,495.2240231438776,255.24406023299625,485.746123386886,846.1149742068768,883.7924782132126,917.0317299385166,18
87,495.4421085880204,255.32641343706717,485.8121123363753,844.2405234834387,885.0128000914677,914.8598414830695,19
87,496.7861137570464,255.55796831706058,487.59446113408274,846.4281096976572,885.7137853957101,921.1352977170893,20
88,499.8092798703454,257.92072864172053,489.43328698205283,852.8695187063532,894.6993992048303,926.4428703854412,21
87,494.90173237732176,255.63163653741134,484.30501859296237,846.7141405452877,882.415780381836,919.6963703077902,22
87,496.4178791573959,255.54457033070017,488.6174464721512,846.5350517920796,883.9112844635481,919.5411166917152,23
87,497.7171442471709,255.16600138822946,487.09412054524637,848.7343128346835,887.5798742045828,920.7039574960409,24
87,495.35761659857627,255.1814797855418,488.818582762328,844.2065248819043,883.7620105635061,916.5428245248071,25
87,495.552553810674,255.50923309124664,486.6717865661642,845.0369300741531,884.4750886095999,918.6366082315568,26
87,497.8738131733858,255.5438906748119,491.45241364223625,846.6119052942895,885.1520037356585,921.8903010045792,27
87,495.7900118895493,255.28387027519742,486.1951729070221,845.1938313620626,884.4272853570043,919.0366411175233,28
88,499.05289082397667,258.1654716608257,489.2056017549215,852.9020664699525,893.0278270601567,926.722147774331,29
88,497.5403420961962,258.22057485461505,488.56384774039145,849.1507985946067,893.5779172055738,927.8400041919793,30
88,499.00587804764547,258.47755376127213,490.76073373731185,853.0184154853645,891.9240827311964,927.829302751653,31
88,499.47274353274025,257.996289247493,488.29435353811226,852.873869165698,892.5889778224437,925.9457360381657,32
88,499.3693426136571,258.2932402875525,488.6873826056554,854.0985639086703,892.840826528977,926.7890770310263,33
87,495.44705882451177,255.5780382835956,485.49358718972576,846.3636814195834,884.3589092016856,918.4924785063595,34
88,496.09299564212796,258.1402684648026,488.5989390294338,848.2663213822531,889.7370062743149,923.3569508362219,35
87,496.3799302879021,255.1632766472403,485.5515935169909,843.8656970264644,884.8562893212496,920.1143557874692,36
88,499.76764758785447,258.10101208433446,491.9245830848134,853.3577968103936,895.1549036024838,928.294672350132,37
87,497.4249711232288,255.34467461039762,486.9638654821099,845.7886827296372,885.8256815807414,919.1489012451938,38
87,497.58867496593217,255.21188561111168,487.3439277907729,846.185267340676,886.1036538994612,918.401996823495,39
87,493.69558969401083,255.44894902839894,484.2393666462799,843.8155523966504,883.2005358147071,914.6775511894093,40
88,499.3104010473542,258.143375811079,492.30000544708224,852.6611447087098,892.7728218603958,925.6650028392753,41
87,495.9124515007382,255.72118182641458,487.53754743754143,846.5700140607286,883.4637427576763,915.9124050134593,42
87,495.896779068769,255.434029080282,485.0764259286659,844.6957157706759,883.0499176460478,918.011984675679,43
88,498.32587718373037,258.11115758553296,488.92274777568394,851.8047275012768,891.5452555626223,925.4550095549348,44
88,499.99179622485923,258.2824470717263,491.68706208137627,851.5362221736874,892.9495256109241,928.0803949427819,45
87,496.5279314166922,255.338773099004,485.2070271033788,845.7174172302286,885.1457178703132,918.6715605953427,46
88,498.1893735473681,258.1440744199113,489.91581174573486,851.7098677411019,891.595127511114,925.9086971560906,47
87,492.89854813272075,255.4608061965997,483.1751682467369,842.133750251172,881.2379478755525,915.8532982683918,48
88,497.9946562348528,258.3221138631467,490.747824066415,852.6833696305929,891.5310677450449,925.8709270566787,49
88,496.8543194043308,258.1920720382183,488.2133154529689,849.8911586410655,889.7561329050043,924.4572616692524,50
87,494.185820757349,254.94826371066534,484.00375385565656,842.3541609684395,881.6416395918244,915.8588678201411,51
87,496.02455516656744,255.33744466280203,488.15188869105975,846.1113092603277,884.9985820344475,918.8468293505175,52
88,500.2494249330455,258.0233963960263,490.470366811057,854.2464690489344,891.8161568438798,925.326077067782,53
88,496.08796920745425,258.0777748531593,486.18655937275935,848.5554860849753,888.776174507305,924.131085759461,54
88,496.58111004379776,258.0939017931298,488.07953572153394,850.021152096901,888.6113908053356,924.7161721491219,55
88,498.03911395218495,258.29952010614267,490.52973322418455,850.7855174664296,893.3050201448979,927.4167332017352,56
87,494.85828419959,255.37626763263467,484.4556454274257,843.420636646476,883.6697296274842,916.9398835148053,57
87,493.3625320943865,255.2141321961754,482.5731397409279,843.8092691116032,881.2320784659504,916.5968086704131,58
88,496.62617481836173,258.3915991399656,489.357670593106,848.2320537059634,891.5843789529929,927.8304780726102,59
87,493.074221817705,255.15773320373614,485.58543360447493,841.8019608131269,881.2349011492471,915.6336014171053,60
87,494.10983522097666,255.4669925074829,487.1811640460985,844.1001356914037,882.4503547072536,917.2147070200931,61
87,494.976698770952,255.3188346617422,486.4888012136324,845.6966789538479,882.3629863557753,916.8647690839414,62
88,495.9060978422127,258.22967013416957,487.8821586282239,849.1788276650533,890.1489155735278,926.0394547785759,63
87,497.1359864510646,255.59622534174972,486.05411007394116,847.2071389431248,885.1641738671318,918.4977184645676,64
87,493.2137889031432,255.76249808442472,483.55454654520906,842.5454412146906,883.279241555327,916.1542999976949,65
87,498.03406171975644,255.50133382936588,488.9262149456189,846.8476300882546,887.5209911809634,921.8855804306505,66
87,496.91673784200935,255.5454617250179,487.71495055486446,845.4494988356611,885.1555894363564,919.5950820165225,67
88,498.31339932625747,258.1336843121003,491.31126272114545,850.8980661530047,889.725950883427,926.1511352500703,68
87,496.7812789461129,255.478969744548,485.8021201295645,845.0833879868162,886.588716561262,920.184520435612,69
