resource,utilization,avg_queue,max_queue,avg_system,replication
Analyzer,0.5029,0.0,0,0.5,1
Centrifuge,0.5028,46.25,90,46.76,1
Phlebotomist,0.5014,125.36,196,125.86,1
Technician,0.25,0.0,0,0.5,1
Analyzer,0.5028,0.0,0,0.5,2
Centrifuge,0.5028,47.53,93,48.03,2
Phlebotomist,0.5013,122.83,196,123.33,2
Technician,0.25,0.0,0,0.5,2
Analyzer,0.5029,0.0,0,0.5,3
Centrifuge,0.5028,48.55,91,49.05,3
Phlebotomist,0.5014,123.77,195,124.27,3
Technician,0.25,0.0,0,0.5,3
Analyzer,0.5028,0.0,0,0.5,4
Centrifuge,0.5028,47.93,93,48.44,4
Phlebotomist,0.5014,125.41,194,125.91,4
Technician,0.25,0.0,0,0.5,4
Analyzer,0.5028,0.0,0,0.5,5
Centrifuge,0.5028,44.01,91,44.51,5
Phlebotomist,0.5014,130.45,200,130.95,5
Technician,0.2514,0.0,0,0.5,5
Analyzer,0.5028,0.0,0,0.5,6
Centrifuge,0.5028,45.97,91,46.47,6
Phlebotomist,0.5014,128.31,194,128.81,6
Technician,0.2514,0.0,0,0.5,6
Analyzer,0.5029,0.0,0,0.5,7
Centrifuge,0.5028,48.99,94,49.49,7
Phlebotomist,0.5013,123.5,192,124.0,7
Technician,0.25,0.0,0,0.5,7
Analyzer,0.5028,0.0,0,0.5,8
Centrifuge,0.5028,47.27,93,47.77,8
Phlebotomist,0.5013,126.29,195,126.79,8
Technician,0.2514,0.0,0,0.5,8
Analyzer,0.5028,0.0,0,0.5,9
Centrifuge,0.5028,48.42,93,48.93,9
Phlebotomist,0.5014,122.48,195,122.98,9
Technician,0.2514,0.0,0,0.5,9
Analyzer,0.5028,0.0,0,0.5,10
Centrifuge,0.5028,42.49,87,42.99,10
Phlebotomist,0.5014,132.66,202,133.16,10
Technician,0.2514,0.0,0,0.5,10
Analyzer,0.5029,0.0,0,0.5,11
Centrifuge,0.5028,47.2,92,47.7,11
Phlebotomist,0.5014,125.75,197,126.25,11
Technician,0.25,0.0,0,0.5,11
Analyzer,0.5028,0.0,0,0.5,12
Centrifuge,0.5028,48.83,98,49.33,12
Phlebotomist,0.5013,124.26,196,124.76,12
Technician,0.2514,0.0,0,0.5,12
Analyzer,0.5028,0.0,0,0.5,13
Centrifuge,0.5028,46.09,95,46.6,13
Phlebotomist,0.5013,127.93,196,128.43,13
Technician,0.2514,0.0,0,0.5,13
Analyzer,0.5029,0.0,0,0.5,14
Centrifuge,0.5028,51.67,102,52.17,14
Phlebotomist,0.5013,121.56,190,122.06,14
Technician,0.25,0.0,0,0.5,14
Analyzer,0.5028,0.0,0,0.5,15
Centrifuge,0.5028,46.66,92,47.16,15
Phlebotomist,0.5014,126.72,197,127.22,15
Technician,0.25,0.0,0,0.5,15
Analyzer,0.5028,0.0,0,0.5,16
Centrifuge,0.5028,45.87,91,46.37,16
Phlebotomist,0.5014,126.47,197,126.97,16
Technician,0.2514,0.0,0,0.5,16
Analyzer,0.5028,0.0,0,0.5,17
Centrifuge,0.5028,43.12,83,43.62,17
Phlebotomist,0.5014,129.6,200,130.11,17
Technician,0.2514,0.0,0,0.5,17
Analyzer,0.5028,0.0,0,0.5,18
Centrifuge,0.5028,41.49,83,41.99,18
Phlebotomist,0.5014,132.4,203,132.9,18
Technician,0.2514,0.0,0,0.5,18
Analyzer,0.5028,0.0,0,0.5,19
Centrifuge,0.5028,49.11,99,49.61,19
Phlebotomist,0.5013,125.52,194,126.02,19
Technician,0.2514,0.0,0,0.5,19
Analyzer,0.5028,0.0,0,0.5,20
Centrifuge,0.5028,45.41,92,45.92,20
Phlebotomist,0.5014,126.89,198,127.39,20
Technician,0.2514,0.0,0,0.5,20
Analyzer,0.5028,0.0,0,0.5,21
Centrifuge,0.5028,46.04,92,46.55,21
Phlebotomist,0.5014,126.31,195,126.81,21
Technician,0.25,0.0,0,0.5,21
Analyzer,0.5028,0.0,0,0.5,22
Centrifuge,0.5028,43.56,83,44.07,22
Phlebotomist,0.5014,127.67,200,128.17,22
