Phleb,Analyzer,Tech,P95_TAT,Labor_Cost,Delay_Penalty,Total_Cost,SLA_Compliance,Config
1,1,1,68.0,90,624.88,714.88,0.0,P1 A1 T1
1,1,2,68.0,110,624.88,734.88,0.0,P1 A1 T2
1,1,3,68.0,130,624.88,754.88,0.0,P1 A1 T3
1,2,1,68.0,140,624.88,764.88,0.0,P1 A2 T1
1,2,2,68.0,160,624.88,784.88,0.0,P1 A2 T2
1,2,3,68.0,180,624.88,804.88,0.0,P1 A2 T3
2,1,1,67.45,110,582.02,692.02,0.0,P2 A1 T1
2,1,2,67.45,130,582.02,712.02,0.0,P2 A1 T2
2,1,3,67.45,150,582.02,732.02,0.0,P2 A1 T3
2,2,1,67.45,160,582.02,742.02,0.0,P2 A2 T1
2,2,2,67.45,180,582.02,762.02,0.0,P2 A2 T2
2,2,3,67.45,200,582.02,782.02,0.0,P2 A2 T3
3,1,1,67.45,130,581.72,711.72,0.0,P3 A1 T1
3,1,2,67.45,150,581.72,731.72,0.0,P3 A1 T2
3,1,3,67.45,170,581.72,751.72,0.0,P3 A1 T3
3,2,1,67.45,180,581.72,761.72,0.0,P3 A2 T1
3,2,2,67.45,200,581.72,781.72,0.0,P3 A2 T2
3,2,3,67.45,220,581.72,801.72,0.0,P3 A2 T3
